날짜,확진자수
2020.03.02,0
2020.03.03,11
2020.03.04,1
2020.03.05,4
2020.03.06,2
2020.03.07,3
2020.03.08,12
2020.03.09,10
2020.03.10,11
2020.03.11,52
2020.03.12,19
2020.03.13,13
2020.03.14,13
2020.03.15,9
2020.03.16,6
2020.03.17,12
2020.03.18,5
2020.03.19,12
2020.03.20,17
2020.03.21,15
2020.03.22,10
2020.03.23,6
2020.03.24,4
2020.03.25,13
2020.03.26,13
2020.03.27,12
2020.03.28,18
2020.03.29,20
2020.03.30,16
2020.03.31,24
2020.04.01,24
2020.04.02,14
2020.04.03,18
2020.04.04,22
2020.04.05,24
2020.04.06,11
2020.04.07,4
2020.04.08,11
2020.04.09,12
2020.04.10,5
2020.04.11,4
2020.04.12,3
2020.04.13,8
2020.04.14,2
2020.04.15,5
2020.04.16,2
2020.04.17,2
2020.04.18,1
2020.04.19,2
2020.04.20,0
2020.04.21,2
2020.04.22,2
2020.04.23,0
2020.04.24,0
2020.04.25,1
2020.04.26,0
2020.04.27,0
2020.04.28,4
2020.04.29,0
2020.04.30,0
2020.05.01,1
2020.05.02,1
2020.05.03,2
2020.05.04,0
2020.05.05,0
2020.05.06,0
2020.05.07,0
2020.05.08,0
2020.05.09,12
2020.05.10,14
2020.05.11,20
2020.05.12,12
2020.05.13,12
2020.05.14,4
2020.05.15,14
2020.05.16,5
2020.05.17,5
2020.05.18,1
2020.05.19,6
2020.05.20,10
2020.05.21,4
2020.05.22,2
2020.05.23,4
2020.05.24,6
2020.05.25,6
2020.05.26,9
2020.05.27,19
2020.05.28,24
2020.05.29,20
2020.05.30,9
2020.05.31,6
2020.06.01,1
2020.06.02,14
2020.06.03,19
2020.06.04,14
2020.06.05,15
2020.06.06,23
2020.06.07,27
2020.06.08,22
2020.06.09,19
2020.06.10,12
2020.06.11,21
2020.06.12,25
2020.06.13,28
2020.06.14,12
2020.06.15,7
2020.06.16,12
2020.06.17,13
2020.06.18,25
2020.06.19,18
2020.06.20,14
2020.06.21,17
2020.06.22,5
2020.06.23,6
2020.06.24,11
2020.06.25,9
2020.06.26,17
2020.06.27,17
2020.06.28,14
2020.06.29,7
2020.06.30,7
2020.07.01,9
2020.07.02,13
2020.07.03,12
2020.07.04,7
2020.07.05,16
2020.07.06,3
2020.07.07,3
2020.07.08,10
2020.07.09,8
2020.07.10,8
2020.07.11,8
2020.07.12,7
2020.07.13,13
2020.07.14,7
2020.07.15,6
2020.07.16,7
2020.07.17,9
2020.07.18,6
2020.07.19,10
2020.07.20,3
2020.07.21,21
2020.07.22,16
2020.07.23,12
2020.07.24,21
2020.07.25,11
2020.07.26,7
2020.07.27,9
2020.07.28,6
2020.07.29,9
2020.07.30,3
2020.07.31,8
2020.08.01,2
2020.08.02,5
2020.08.03,5
2020.08.04,9
2020.08.05,6
2020.08.06,9
2020.08.07,9
2020.08.08,17
2020.08.09,13
2020.08.10,13
2020.08.11,6
2020.08.12,15
2020.08.13,26
2020.08.14,32
2020.08.15,74
2020.08.16,146
2020.08.17,90
2020.08.18,132
2020.08.19,151
2020.08.20,135
2020.08.21,126
2020.08.22,128
2020.08.23,140
2020.08.24,97
2020.08.25,134
2020.08.26,112
2020.08.27,154
2020.08.28,146
2020.08.29,125
2020.08.30,116
2020.08.31,94
2020.09.01,94
2020.09.02,101
2020.09.03,69
2020.09.04,70
2020.09.05,50
2020.09.06,63
2020.09.07,48
2020.09.08,67
2020.09.09,49
2020.09.10,48
2020.09.11,63
2020.09.12,50
2020.09.13,31
2020.09.14,41
2020.09.15,32
2020.09.16,51
2020.09.17,63
2020.09.18,47
2020.09.19,40
2020.09.20,28
2020.09.21,23
2020.09.22,21
2020.09.23,40
2020.09.24,39
2020.09.25,57
2020.09.26,26
2020.09.27,34
2020.09.28,19
2020.09.29,11
2020.09.30,51
2020.10.01,30
2020.10.02,11
2020.10.03,26
2020.10.04,16
2020.10.05,19
2020.10.06,15
2020.10.07,33
2020.10.08,20
2020.10.09,22
2020.10.10,25
2020.10.11,23
2020.10.12,31
2020.10.13,20
2020.10.14,23
2020.10.15,25
2020.10.16,18
2020.10.17,18
2020.10.18,20
2020.10.19,14
2020.10.20,11
2020.10.21,17
2020.10.22,18
2020.10.23,20
2020.10.24,22
2020.10.25,17
2020.10.26,20
2020.10.27,24
2020.10.28,25
2020.10.29,36
2020.10.30,48
2020.10.31,51
2020.11.01,45
2020.11.02,25
2020.11.03,22
2020.11.04,42
2020.11.05,50
2020.11.06,40
2020.11.07,37
2020.11.08,54
2020.11.09,46
2020.11.10,35
2020.11.11,45
2020.11.12,53
2020.11.13,74
2020.11.14,69
2020.11.15,85
2020.11.16,81
2020.11.17,89
2020.11.18,92
2020.11.19,109
2020.11.20,132
2020.11.21,156
2020.11.22,121
2020.11.23,112
2020.11.24,133
2020.11.25,142
2020.11.26,213
2020.11.27,204
2020.11.28,177
2020.11.29,150
2020.11.30,167
